,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
341,kNN,7,CHEMBL280,78,3.0,jaccard,,,,,,,
342,SVR,7,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
343,RFR,7,CHEMBL280,78,,,,,100.0,sqrt,2.0,1.0,
344,MR,7,CHEMBL280,78,,,,,,,,,median
345,1-NN,7,CHEMBL280,126,1.0,jaccard,,,,,,,
346,kNN,7,CHEMBL280,126,3.0,jaccard,,,,,,,
347,SVR,7,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
348,RFR,7,CHEMBL280,126,,,,,50.0,log2,2.0,1.0,
349,MR,7,CHEMBL280,126,,,,,,,,,median
350,1-NN,7,CHEMBL280,204,1.0,jaccard,,,,,,,
351,kNN,7,CHEMBL280,204,3.0,jaccard,,,,,,,
352,SVR,7,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
353,RFR,7,CHEMBL280,204,,,,,100.0,sqrt,2.0,1.0,
354,MR,7,CHEMBL280,204,,,,,,,,,median
355,1-NN,7,CHEMBL280,330,1.0,jaccard,,,,,,,
356,kNN,7,CHEMBL280,330,3.0,jaccard,,,,,,,
357,SVR,7,CHEMBL280,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
358,RFR,7,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
359,MR,7,CHEMBL280,330,,,,,,,,,median
360,1-NN,8,CHEMBL280,6,1.0,jaccard,,,,,,,
361,kNN,8,CHEMBL280,6,3.0,jaccard,,,,,,,
362,SVR,8,CHEMBL280,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
363,RFR,8,CHEMBL280,6,,,,,50.0,log2,3.0,1.0,
364,MR,8,CHEMBL280,6,,,,,,,,,median
365,1-NN,8,CHEMBL280,12,1.0,jaccard,,,,,,,
366,kNN,8,CHEMBL280,12,3.0,jaccard,,,,,,,
367,SVR,8,CHEMBL280,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
368,RFR,8,CHEMBL280,12,,,,,100.0,log2,3.0,1.0,
369,MR,8,CHEMBL280,12,,,,,,,,,median
370,1-NN,8,CHEMBL280,18,1.0,jaccard,,,,,,,
371,kNN,8,CHEMBL280,18,3.0,jaccard,,,,,,,
372,SVR,8,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
373,RFR,8,CHEMBL280,18,,,,,50.0,log2,2.0,1.0,
374,MR,8,CHEMBL280,18,,,,,,,,,median
375,1-NN,8,CHEMBL280,30,1.0,jaccard,,,,,,,
376,kNN,8,CHEMBL280,30,3.0,jaccard,,,,,,,
377,SVR,8,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
378,RFR,8,CHEMBL280,30,,,,,50.0,log2,2.0,1.0,
379,MR,8,CHEMBL280,30,,,,,,,,,median
380,1-NN,8,CHEMBL280,48,1.0,jaccard,,,,,,,
381,kNN,8,CHEMBL280,48,3.0,jaccard,,,,,,,
382,SVR,8,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
383,RFR,8,CHEMBL280,48,,,,,50.0,sqrt,5.0,2.0,
384,MR,8,CHEMBL280,48,,,,,,,,,median
385,1-NN,8,CHEMBL280,78,1.0,jaccard,,,,,,,
386,kNN,8,CHEMBL280,78,3.0,jaccard,,,,,,,
387,SVR,8,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
388,RFR,8,CHEMBL280,78,,,,,200.0,sqrt,2.0,1.0,
389,MR,8,CHEMBL280,78,,,,,,,,,median
390,1-NN,8,CHEMBL280,126,1.0,jaccard,,,,,,,
391,kNN,8,CHEMBL280,126,3.0,jaccard,,,,,,,
392,SVR,8,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
393,RFR,8,CHEMBL280,126,,,,,100.0,log2,2.0,1.0,
394,MR,8,CHEMBL280,126,,,,,,,,,median
395,1-NN,8,CHEMBL280,204,1.0,jaccard,,,,,,,
396,kNN,8,CHEMBL280,204,3.0,jaccard,,,,,,,
397,SVR,8,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
398,RFR,8,CHEMBL280,204,,,,,50.0,sqrt,2.0,1.0,
399,MR,8,CHEMBL280,204,,,,,,,,,median
400,1-NN,8,CHEMBL280,330,1.0,jaccard,,,,,,,
401,kNN,8,CHEMBL280,330,3.0,jaccard,,,,,,,
402,SVR,8,CHEMBL280,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
403,RFR,8,CHEMBL280,330,,,,,100.0,sqrt,2.0,1.0,
404,MR,8,CHEMBL280,330,,,,,,,,,median
405,1-NN,9,CHEMBL280,6,1.0,jaccard,,,,,,,
406,kNN,9,CHEMBL280,6,3.0,jaccard,,,,,,,
407,SVR,9,CHEMBL280,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
408,RFR,9,CHEMBL280,6,,,,,50.0,log2,3.0,1.0,
409,MR,9,CHEMBL280,6,,,,,,,,,median
410,1-NN,9,CHEMBL280,12,1.0,jaccard,,,,,,,
411,kNN,9,CHEMBL280,12,3.0,jaccard,,,,,,,
412,SVR,9,CHEMBL280,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
413,RFR,9,CHEMBL280,12,,,,,50.0,log2,2.0,2.0,
414,MR,9,CHEMBL280,12,,,,,,,,,median
415,1-NN,9,CHEMBL280,18,1.0,jaccard,,,,,,,
416,kNN,9,CHEMBL280,18,3.0,jaccard,,,,,,,
417,SVR,9,CHEMBL280,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
418,RFR,9,CHEMBL280,18,,,,,200.0,sqrt,2.0,5.0,
419,MR,9,CHEMBL280,18,,,,,,,,,median
420,1-NN,9,CHEMBL280,30,1.0,jaccard,,,,,,,
421,kNN,9,CHEMBL280,30,3.0,jaccard,,,,,,,
422,SVR,9,CHEMBL280,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
423,RFR,9,CHEMBL280,30,,,,,50.0,log2,2.0,1.0,
424,MR,9,CHEMBL280,30,,,,,,,,,median
425,1-NN,9,CHEMBL280,48,1.0,jaccard,,,,,,,
426,kNN,9,CHEMBL280,48,3.0,jaccard,,,,,,,
427,SVR,9,CHEMBL280,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
428,RFR,9,CHEMBL280,48,,,,,100.0,sqrt,3.0,1.0,
429,MR,9,CHEMBL280,48,,,,,,,,,median
430,1-NN,9,CHEMBL280,78,1.0,jaccard,,,,,,,
431,kNN,9,CHEMBL280,78,3.0,jaccard,,,,,,,
432,SVR,9,CHEMBL280,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
433,RFR,9,CHEMBL280,78,,,,,200.0,log2,2.0,1.0,
434,MR,9,CHEMBL280,78,,,,,,,,,median
435,1-NN,9,CHEMBL280,126,1.0,jaccard,,,,,,,
436,kNN,9,CHEMBL280,126,3.0,jaccard,,,,,,,
437,SVR,9,CHEMBL280,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
438,RFR,9,CHEMBL280,126,,,,,200.0,sqrt,2.0,1.0,
439,MR,9,CHEMBL280,126,,,,,,,,,median
440,1-NN,9,CHEMBL280,204,1.0,jaccard,,,,,,,
441,kNN,9,CHEMBL280,204,3.0,jaccard,,,,,,,
442,SVR,9,CHEMBL280,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
443,RFR,9,CHEMBL280,204,,,,,100.0,sqrt,3.0,1.0,
444,MR,9,CHEMBL280,204,,,,,,,,,median
445,1-NN,9,CHEMBL280,330,1.0,jaccard,,,,,,,
446,kNN,9,CHEMBL280,330,3.0,jaccard,,,,,,,
447,SVR,9,CHEMBL280,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
448,RFR,9,CHEMBL280,330,,,,,200.0,sqrt,2.0,1.0,
449,MR,9,CHEMBL280,330,,,,,,,,,median
450,1-NN,0,CHEMBL203,6,1.0,jaccard,,,,,,,
451,kNN,0,CHEMBL203,6,3.0,jaccard,,,,,,,
452,SVR,0,CHEMBL203,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
453,RFR,0,CHEMBL203,6,,,,,50.0,log2,2.0,1.0,
454,MR,0,CHEMBL203,6,,,,,,,,,median
455,1-NN,0,CHEMBL203,12,1.0,jaccard,,,,,,,
456,kNN,0,CHEMBL203,12,3.0,jaccard,,,,,,,
457,SVR,0,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
458,RFR,0,CHEMBL203,12,,,,,100.0,log2,2.0,1.0,
459,MR,0,CHEMBL203,12,,,,,,,,,median
460,1-NN,0,CHEMBL203,18,1.0,jaccard,,,,,,,
461,kNN,0,CHEMBL203,18,3.0,jaccard,,,,,,,
462,SVR,0,CHEMBL203,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
463,RFR,0,CHEMBL203,18,,,,,50.0,sqrt,2.0,2.0,
464,MR,0,CHEMBL203,18,,,,,,,,,median
465,1-NN,0,CHEMBL203,30,1.0,jaccard,,,,,,,
466,kNN,0,CHEMBL203,30,3.0,jaccard,,,,,,,
467,SVR,0,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
468,RFR,0,CHEMBL203,30,,,,,100.0,log2,2.0,1.0,
469,MR,0,CHEMBL203,30,,,,,,,,,median
470,1-NN,0,CHEMBL203,48,1.0,jaccard,,,,,,,
471,kNN,0,CHEMBL203,48,3.0,jaccard,,,,,,,
472,SVR,0,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
473,RFR,0,CHEMBL203,48,,,,,200.0,sqrt,2.0,1.0,
474,MR,0,CHEMBL203,48,,,,,,,,,median
475,1-NN,0,CHEMBL203,78,1.0,jaccard,,,,,,,
476,kNN,0,CHEMBL203,78,3.0,jaccard,,,,,,,
477,SVR,0,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
478,RFR,0,CHEMBL203,78,,,,,50.0,sqrt,2.0,1.0,
479,MR,0,CHEMBL203,78,,,,,,,,,median
480,1-NN,0,CHEMBL203,126,1.0,jaccard,,,,,,,
481,kNN,0,CHEMBL203,126,3.0,jaccard,,,,,,,
482,SVR,0,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
483,RFR,0,CHEMBL203,126,,,,,50.0,sqrt,2.0,1.0,
484,MR,0,CHEMBL203,126,,,,,,,,,median
485,1-NN,0,CHEMBL203,204,1.0,jaccard,,,,,,,
486,kNN,0,CHEMBL203,204,3.0,jaccard,,,,,,,
487,SVR,0,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
488,RFR,0,CHEMBL203,204,,,,,100.0,sqrt,3.0,1.0,
489,MR,0,CHEMBL203,204,,,,,,,,,median
490,1-NN,0,CHEMBL203,330,1.0,jaccard,,,,,,,
491,kNN,0,CHEMBL203,330,3.0,jaccard,,,,,,,
492,SVR,0,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
493,RFR,0,CHEMBL203,330,,,,,200.0,sqrt,3.0,1.0,
494,MR,0,CHEMBL203,330,,,,,,,,,median
495,1-NN,1,CHEMBL203,6,1.0,jaccard,,,,,,,
496,kNN,1,CHEMBL203,6,3.0,jaccard,,,,,,,
497,SVR,1,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
498,RFR,1,CHEMBL203,6,,,,,50.0,sqrt,2.0,2.0,
499,MR,1,CHEMBL203,6,,,,,,,,,median
500,1-NN,1,CHEMBL203,12,1.0,jaccard,,,,,,,
501,kNN,1,CHEMBL203,12,3.0,jaccard,,,,,,,
502,SVR,1,CHEMBL203,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
503,RFR,1,CHEMBL203,12,,,,,50.0,sqrt,2.0,5.0,
504,MR,1,CHEMBL203,12,,,,,,,,,median
505,1-NN,1,CHEMBL203,18,1.0,jaccard,,,,,,,
506,kNN,1,CHEMBL203,18,3.0,jaccard,,,,,,,
507,SVR,1,CHEMBL203,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
508,RFR,1,CHEMBL203,18,,,,,100.0,log2,2.0,1.0,
509,MR,1,CHEMBL203,18,,,,,,,,,median
510,1-NN,1,CHEMBL203,30,1.0,jaccard,,,,,,,
511,kNN,1,CHEMBL203,30,3.0,jaccard,,,,,,,
512,SVR,1,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
513,RFR,1,CHEMBL203,30,,,,,50.0,log2,2.0,1.0,
514,MR,1,CHEMBL203,30,,,,,,,,,median
515,1-NN,1,CHEMBL203,48,1.0,jaccard,,,,,,,
516,kNN,1,CHEMBL203,48,3.0,jaccard,,,,,,,
517,SVR,1,CHEMBL203,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
518,RFR,1,CHEMBL203,48,,,,,200.0,log2,5.0,1.0,
519,MR,1,CHEMBL203,48,,,,,,,,,median
520,1-NN,1,CHEMBL203,78,1.0,jaccard,,,,,,,
521,kNN,1,CHEMBL203,78,3.0,jaccard,,,,,,,
522,SVR,1,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
523,RFR,1,CHEMBL203,78,,,,,50.0,log2,2.0,1.0,
524,MR,1,CHEMBL203,78,,,,,,,,,median
525,1-NN,1,CHEMBL203,126,1.0,jaccard,,,,,,,
526,kNN,1,CHEMBL203,126,3.0,jaccard,,,,,,,
527,SVR,1,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
528,RFR,1,CHEMBL203,126,,,,,200.0,sqrt,2.0,1.0,
529,MR,1,CHEMBL203,126,,,,,,,,,median
530,1-NN,1,CHEMBL203,204,1.0,jaccard,,,,,,,
531,kNN,1,CHEMBL203,204,3.0,jaccard,,,,,,,
532,SVR,1,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
533,RFR,1,CHEMBL203,204,,,,,200.0,sqrt,2.0,1.0,
534,MR,1,CHEMBL203,204,,,,,,,,,median
535,1-NN,1,CHEMBL203,330,1.0,jaccard,,,,,,,
536,kNN,1,CHEMBL203,330,3.0,jaccard,,,,,,,
537,SVR,1,CHEMBL203,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
538,RFR,1,CHEMBL203,330,,,,,50.0,sqrt,2.0,1.0,
539,MR,1,CHEMBL203,330,,,,,,,,,median
540,1-NN,2,CHEMBL203,6,1.0,jaccard,,,,,,,
541,kNN,2,CHEMBL203,6,3.0,jaccard,,,,,,,
542,SVR,2,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
543,RFR,2,CHEMBL203,6,,,,,50.0,log2,2.0,1.0,
544,MR,2,CHEMBL203,6,,,,,,,,,median
545,1-NN,2,CHEMBL203,12,1.0,jaccard,,,,,,,
546,kNN,2,CHEMBL203,12,3.0,jaccard,,,,,,,
547,SVR,2,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
548,RFR,2,CHEMBL203,12,,,,,100.0,sqrt,5.0,1.0,
549,MR,2,CHEMBL203,12,,,,,,,,,median
550,1-NN,2,CHEMBL203,18,1.0,jaccard,,,,,,,
551,kNN,2,CHEMBL203,18,3.0,jaccard,,,,,,,
552,SVR,2,CHEMBL203,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
553,RFR,2,CHEMBL203,18,,,,,50.0,sqrt,2.0,1.0,
554,MR,2,CHEMBL203,18,,,,,,,,,median
555,1-NN,2,CHEMBL203,30,1.0,jaccard,,,,,,,
556,kNN,2,CHEMBL203,30,3.0,jaccard,,,,,,,
557,SVR,2,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
558,RFR,2,CHEMBL203,30,,,,,200.0,log2,2.0,1.0,
559,MR,2,CHEMBL203,30,,,,,,,,,median
560,1-NN,2,CHEMBL203,48,1.0,jaccard,,,,,,,
561,kNN,2,CHEMBL203,48,3.0,jaccard,,,,,,,
562,SVR,2,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
563,RFR,2,CHEMBL203,48,,,,,100.0,sqrt,3.0,1.0,
564,MR,2,CHEMBL203,48,,,,,,,,,median
565,1-NN,2,CHEMBL203,78,1.0,jaccard,,,,,,,
566,kNN,2,CHEMBL203,78,3.0,jaccard,,,,,,,
567,SVR,2,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
568,RFR,2,CHEMBL203,78,,,,,100.0,log2,2.0,1.0,
569,MR,2,CHEMBL203,78,,,,,,,,,median
570,1-NN,2,CHEMBL203,126,1.0,jaccard,,,,,,,
571,kNN,2,CHEMBL203,126,3.0,jaccard,,,,,,,
572,SVR,2,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
573,RFR,2,CHEMBL203,126,,,,,50.0,sqrt,3.0,1.0,
574,MR,2,CHEMBL203,126,,,,,,,,,median
575,1-NN,2,CHEMBL203,204,1.0,jaccard,,,,,,,
576,kNN,2,CHEMBL203,204,3.0,jaccard,,,,,,,
577,SVR,2,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
578,RFR,2,CHEMBL203,204,,,,,50.0,sqrt,3.0,1.0,
579,MR,2,CHEMBL203,204,,,,,,,,,median
580,1-NN,2,CHEMBL203,330,1.0,jaccard,,,,,,,
581,kNN,2,CHEMBL203,330,3.0,jaccard,,,,,,,
582,SVR,2,CHEMBL203,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
583,RFR,2,CHEMBL203,330,,,,,100.0,sqrt,2.0,1.0,
584,MR,2,CHEMBL203,330,,,,,,,,,median
585,1-NN,3,CHEMBL203,6,1.0,jaccard,,,,,,,
586,kNN,3,CHEMBL203,6,3.0,jaccard,,,,,,,
587,SVR,3,CHEMBL203,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
588,RFR,3,CHEMBL203,6,,,,,50.0,sqrt,2.0,2.0,
589,MR,3,CHEMBL203,6,,,,,,,,,median
590,1-NN,3,CHEMBL203,12,1.0,jaccard,,,,,,,
591,kNN,3,CHEMBL203,12,3.0,jaccard,,,,,,,
592,SVR,3,CHEMBL203,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
593,RFR,3,CHEMBL203,12,,,,,200.0,sqrt,3.0,1.0,
594,MR,3,CHEMBL203,12,,,,,,,,,median
595,1-NN,3,CHEMBL203,18,1.0,jaccard,,,,,,,
596,kNN,3,CHEMBL203,18,3.0,jaccard,,,,,,,
597,SVR,3,CHEMBL203,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
598,RFR,3,CHEMBL203,18,,,,,50.0,sqrt,2.0,5.0,
599,MR,3,CHEMBL203,18,,,,,,,,,median
600,1-NN,3,CHEMBL203,30,1.0,jaccard,,,,,,,
601,kNN,3,CHEMBL203,30,3.0,jaccard,,,,,,,
602,SVR,3,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
603,RFR,3,CHEMBL203,30,,,,,50.0,log2,3.0,1.0,
604,MR,3,CHEMBL203,30,,,,,,,,,median
605,1-NN,3,CHEMBL203,48,1.0,jaccard,,,,,,,
606,kNN,3,CHEMBL203,48,3.0,jaccard,,,,,,,
607,SVR,3,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
608,RFR,3,CHEMBL203,48,,,,,200.0,sqrt,3.0,1.0,
609,MR,3,CHEMBL203,48,,,,,,,,,median
610,1-NN,3,CHEMBL203,78,1.0,jaccard,,,,,,,
611,kNN,3,CHEMBL203,78,3.0,jaccard,,,,,,,
612,SVR,3,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
613,RFR,3,CHEMBL203,78,,,,,50.0,sqrt,3.0,1.0,
614,MR,3,CHEMBL203,78,,,,,,,,,median
615,1-NN,3,CHEMBL203,126,1.0,jaccard,,,,,,,
616,kNN,3,CHEMBL203,126,3.0,jaccard,,,,,,,
617,SVR,3,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
618,RFR,3,CHEMBL203,126,,,,,50.0,log2,2.0,1.0,
619,MR,3,CHEMBL203,126,,,,,,,,,median
620,1-NN,3,CHEMBL203,204,1.0,jaccard,,,,,,,
621,kNN,3,CHEMBL203,204,3.0,jaccard,,,,,,,
622,SVR,3,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
623,RFR,3,CHEMBL203,204,,,,,200.0,sqrt,2.0,1.0,
624,MR,3,CHEMBL203,204,,,,,,,,,median
625,1-NN,3,CHEMBL203,330,1.0,jaccard,,,,,,,
626,kNN,3,CHEMBL203,330,3.0,jaccard,,,,,,,
627,SVR,3,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
628,RFR,3,CHEMBL203,330,,,,,200.0,sqrt,2.0,1.0,
629,MR,3,CHEMBL203,330,,,,,,,,,median
630,1-NN,4,CHEMBL203,6,1.0,jaccard,,,,,,,
631,kNN,4,CHEMBL203,6,3.0,jaccard,,,,,,,
632,SVR,4,CHEMBL203,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
633,RFR,4,CHEMBL203,6,,,,,50.0,log2,2.0,1.0,
634,MR,4,CHEMBL203,6,,,,,,,,,median
635,1-NN,4,CHEMBL203,12,1.0,jaccard,,,,,,,
636,kNN,4,CHEMBL203,12,3.0,jaccard,,,,,,,
637,SVR,4,CHEMBL203,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
638,RFR,4,CHEMBL203,12,,,,,50.0,sqrt,2.0,1.0,
639,MR,4,CHEMBL203,12,,,,,,,,,median
640,1-NN,4,CHEMBL203,18,1.0,jaccard,,,,,,,
641,kNN,4,CHEMBL203,18,3.0,jaccard,,,,,,,
642,SVR,4,CHEMBL203,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
643,RFR,4,CHEMBL203,18,,,,,50.0,sqrt,3.0,1.0,
644,MR,4,CHEMBL203,18,,,,,,,,,median
645,1-NN,4,CHEMBL203,30,1.0,jaccard,,,,,,,
646,kNN,4,CHEMBL203,30,3.0,jaccard,,,,,,,
647,SVR,4,CHEMBL203,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
648,RFR,4,CHEMBL203,30,,,,,50.0,sqrt,2.0,1.0,
649,MR,4,CHEMBL203,30,,,,,,,,,median
650,1-NN,4,CHEMBL203,48,1.0,jaccard,,,,,,,
651,kNN,4,CHEMBL203,48,3.0,jaccard,,,,,,,
652,SVR,4,CHEMBL203,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
653,RFR,4,CHEMBL203,48,,,,,200.0,log2,2.0,1.0,
654,MR,4,CHEMBL203,48,,,,,,,,,median
655,1-NN,4,CHEMBL203,78,1.0,jaccard,,,,,,,
656,kNN,4,CHEMBL203,78,3.0,jaccard,,,,,,,
657,SVR,4,CHEMBL203,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
658,RFR,4,CHEMBL203,78,,,,,100.0,sqrt,2.0,1.0,
659,MR,4,CHEMBL203,78,,,,,,,,,median
660,1-NN,4,CHEMBL203,126,1.0,jaccard,,,,,,,
661,kNN,4,CHEMBL203,126,3.0,jaccard,,,,,,,
662,SVR,4,CHEMBL203,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
663,RFR,4,CHEMBL203,126,,,,,200.0,sqrt,3.0,1.0,
664,MR,4,CHEMBL203,126,,,,,,,,,median
665,1-NN,4,CHEMBL203,204,1.0,jaccard,,,,,,,
666,kNN,4,CHEMBL203,204,3.0,jaccard,,,,,,,
667,SVR,4,CHEMBL203,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
668,RFR,4,CHEMBL203,204,,,,,200.0,sqrt,2.0,1.0,
669,MR,4,CHEMBL203,204,,,,,,,,,median
670,1-NN,4,CHEMBL203,330,1.0,jaccard,,,,,,,
671,kNN,4,CHEMBL203,330,3.0,jaccard,,,,,,,
672,SVR,4,CHEMBL203,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
673,RFR,4,CHEMBL203,330,,,,,200.0,sqrt,2.0,1.0,
674,MR,4,CHEMBL203,330,,,,,,,,,median
675,1-NN,5,CHEMBL203,6,1.0,jaccard,,,,,,,
676,kNN,5,CHEMBL203,6,3.0,jaccard,,,,,,,
677,SVR,5,CHEMBL203,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
678,RFR,5,CHEMBL203,6,,,,,200.0,sqrt,2.0,2.0,
679,MR,5,CHEMBL203,6,,,,,,,,,median
680,1-NN,5,CHEMBL203,12,1.0,jaccard,,,,,,,
681,kNN,5,CHEMBL203,12,3.0,jaccard,,,,,,,
