,model,trial,Target ID,Training size,n_neighbors,metric,C,kernel,n_estimators,max_features,min_samples_split,min_samples_leaf,strategy
1021,kNN,2,CHEMBL2409,126,3.0,jaccard,,,,,,,
1022,SVR,2,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1023,RFR,2,CHEMBL2409,126,,,,,200.0,sqrt,2.0,1.0,
1024,MR,2,CHEMBL2409,126,,,,,,,,,median
1025,1-NN,2,CHEMBL2409,204,1.0,jaccard,,,,,,,
1026,kNN,2,CHEMBL2409,204,3.0,jaccard,,,,,,,
1027,SVR,2,CHEMBL2409,204,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1028,RFR,2,CHEMBL2409,204,,,,,100.0,sqrt,5.0,2.0,
1029,MR,2,CHEMBL2409,204,,,,,,,,,median
1030,1-NN,2,CHEMBL2409,330,1.0,jaccard,,,,,,,
1031,kNN,2,CHEMBL2409,330,3.0,jaccard,,,,,,,
1032,SVR,2,CHEMBL2409,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1033,RFR,2,CHEMBL2409,330,,,,,50.0,sqrt,2.0,1.0,
1034,MR,2,CHEMBL2409,330,,,,,,,,,median
1035,1-NN,3,CHEMBL2409,6,1.0,jaccard,,,,,,,
1036,kNN,3,CHEMBL2409,6,3.0,jaccard,,,,,,,
1037,SVR,3,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1038,RFR,3,CHEMBL2409,6,,,,,50.0,sqrt,2.0,1.0,
1039,MR,3,CHEMBL2409,6,,,,,,,,,median
1040,1-NN,3,CHEMBL2409,12,1.0,jaccard,,,,,,,
1041,kNN,3,CHEMBL2409,12,3.0,jaccard,,,,,,,
1042,SVR,3,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1043,RFR,3,CHEMBL2409,12,,,,,100.0,sqrt,3.0,1.0,
1044,MR,3,CHEMBL2409,12,,,,,,,,,median
1045,1-NN,3,CHEMBL2409,18,1.0,jaccard,,,,,,,
1046,kNN,3,CHEMBL2409,18,3.0,jaccard,,,,,,,
1047,SVR,3,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1048,RFR,3,CHEMBL2409,18,,,,,200.0,sqrt,2.0,2.0,
1049,MR,3,CHEMBL2409,18,,,,,,,,,median
1050,1-NN,3,CHEMBL2409,30,1.0,jaccard,,,,,,,
1051,kNN,3,CHEMBL2409,30,3.0,jaccard,,,,,,,
1052,SVR,3,CHEMBL2409,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1053,RFR,3,CHEMBL2409,30,,,,,50.0,sqrt,5.0,1.0,
1054,MR,3,CHEMBL2409,30,,,,,,,,,median
1055,1-NN,3,CHEMBL2409,48,1.0,jaccard,,,,,,,
1056,kNN,3,CHEMBL2409,48,3.0,jaccard,,,,,,,
1057,SVR,3,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1058,RFR,3,CHEMBL2409,48,,,,,100.0,sqrt,10.0,2.0,
1059,MR,3,CHEMBL2409,48,,,,,,,,,median
1060,1-NN,3,CHEMBL2409,78,1.0,jaccard,,,,,,,
1061,kNN,3,CHEMBL2409,78,3.0,jaccard,,,,,,,
1062,SVR,3,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1063,RFR,3,CHEMBL2409,78,,,,,200.0,log2,2.0,1.0,
1064,MR,3,CHEMBL2409,78,,,,,,,,,median
1065,1-NN,3,CHEMBL2409,126,1.0,jaccard,,,,,,,
1066,kNN,3,CHEMBL2409,126,3.0,jaccard,,,,,,,
1067,SVR,3,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1068,RFR,3,CHEMBL2409,126,,,,,50.0,sqrt,5.0,1.0,
1069,MR,3,CHEMBL2409,126,,,,,,,,,median
1070,1-NN,3,CHEMBL2409,204,1.0,jaccard,,,,,,,
1071,kNN,3,CHEMBL2409,204,3.0,jaccard,,,,,,,
1072,SVR,3,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1073,RFR,3,CHEMBL2409,204,,,,,50.0,sqrt,2.0,1.0,
1074,MR,3,CHEMBL2409,204,,,,,,,,,median
1075,1-NN,3,CHEMBL2409,330,1.0,jaccard,,,,,,,
1076,kNN,3,CHEMBL2409,330,3.0,jaccard,,,,,,,
1077,SVR,3,CHEMBL2409,330,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1078,RFR,3,CHEMBL2409,330,,,,,200.0,sqrt,2.0,1.0,
1079,MR,3,CHEMBL2409,330,,,,,,,,,median
1080,1-NN,4,CHEMBL2409,6,1.0,jaccard,,,,,,,
1081,kNN,4,CHEMBL2409,6,3.0,jaccard,,,,,,,
1082,SVR,4,CHEMBL2409,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1083,RFR,4,CHEMBL2409,6,,,,,50.0,log2,2.0,1.0,
1084,MR,4,CHEMBL2409,6,,,,,,,,,median
1085,1-NN,4,CHEMBL2409,12,1.0,jaccard,,,,,,,
1086,kNN,4,CHEMBL2409,12,3.0,jaccard,,,,,,,
1087,SVR,4,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1088,RFR,4,CHEMBL2409,12,,,,,50.0,log2,2.0,2.0,
1089,MR,4,CHEMBL2409,12,,,,,,,,,median
1090,1-NN,4,CHEMBL2409,18,1.0,jaccard,,,,,,,
1091,kNN,4,CHEMBL2409,18,3.0,jaccard,,,,,,,
1092,SVR,4,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1093,RFR,4,CHEMBL2409,18,,,,,200.0,sqrt,2.0,5.0,
1094,MR,4,CHEMBL2409,18,,,,,,,,,median
1095,1-NN,4,CHEMBL2409,30,1.0,jaccard,,,,,,,
1096,kNN,4,CHEMBL2409,30,3.0,jaccard,,,,,,,
1097,SVR,4,CHEMBL2409,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1098,RFR,4,CHEMBL2409,30,,,,,50.0,log2,3.0,1.0,
1099,MR,4,CHEMBL2409,30,,,,,,,,,median
1100,1-NN,4,CHEMBL2409,48,1.0,jaccard,,,,,,,
1101,kNN,4,CHEMBL2409,48,3.0,jaccard,,,,,,,
1102,SVR,4,CHEMBL2409,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1103,RFR,4,CHEMBL2409,48,,,,,50.0,log2,2.0,2.0,
1104,MR,4,CHEMBL2409,48,,,,,,,,,median
1105,1-NN,4,CHEMBL2409,78,1.0,jaccard,,,,,,,
1106,kNN,4,CHEMBL2409,78,3.0,jaccard,,,,,,,
1107,SVR,4,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1108,RFR,4,CHEMBL2409,78,,,,,50.0,sqrt,2.0,1.0,
1109,MR,4,CHEMBL2409,78,,,,,,,,,median
1110,1-NN,4,CHEMBL2409,126,1.0,jaccard,,,,,,,
1111,kNN,4,CHEMBL2409,126,3.0,jaccard,,,,,,,
1112,SVR,4,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1113,RFR,4,CHEMBL2409,126,,,,,100.0,log2,2.0,1.0,
1114,MR,4,CHEMBL2409,126,,,,,,,,,median
1115,1-NN,4,CHEMBL2409,204,1.0,jaccard,,,,,,,
1116,kNN,4,CHEMBL2409,204,3.0,jaccard,,,,,,,
1117,SVR,4,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1118,RFR,4,CHEMBL2409,204,,,,,50.0,sqrt,2.0,1.0,
1119,MR,4,CHEMBL2409,204,,,,,,,,,median
1120,1-NN,4,CHEMBL2409,330,1.0,jaccard,,,,,,,
1121,kNN,4,CHEMBL2409,330,3.0,jaccard,,,,,,,
1122,SVR,4,CHEMBL2409,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1123,RFR,4,CHEMBL2409,330,,,,,200.0,sqrt,2.0,1.0,
1124,MR,4,CHEMBL2409,330,,,,,,,,,median
1125,1-NN,5,CHEMBL2409,6,1.0,jaccard,,,,,,,
1126,kNN,5,CHEMBL2409,6,3.0,jaccard,,,,,,,
1127,SVR,5,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1128,RFR,5,CHEMBL2409,6,,,,,200.0,sqrt,2.0,1.0,
1129,MR,5,CHEMBL2409,6,,,,,,,,,median
1130,1-NN,5,CHEMBL2409,12,1.0,jaccard,,,,,,,
1131,kNN,5,CHEMBL2409,12,3.0,jaccard,,,,,,,
1132,SVR,5,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1133,RFR,5,CHEMBL2409,12,,,,,50.0,log2,2.0,1.0,
1134,MR,5,CHEMBL2409,12,,,,,,,,,median
1135,1-NN,5,CHEMBL2409,18,1.0,jaccard,,,,,,,
1136,kNN,5,CHEMBL2409,18,3.0,jaccard,,,,,,,
1137,SVR,5,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1138,RFR,5,CHEMBL2409,18,,,,,50.0,log2,2.0,1.0,
1139,MR,5,CHEMBL2409,18,,,,,,,,,median
1140,1-NN,5,CHEMBL2409,30,1.0,jaccard,,,,,,,
1141,kNN,5,CHEMBL2409,30,3.0,jaccard,,,,,,,
1142,SVR,5,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1143,RFR,5,CHEMBL2409,30,,,,,50.0,sqrt,10.0,1.0,
1144,MR,5,CHEMBL2409,30,,,,,,,,,median
1145,1-NN,5,CHEMBL2409,48,1.0,jaccard,,,,,,,
1146,kNN,5,CHEMBL2409,48,3.0,jaccard,,,,,,,
1147,SVR,5,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1148,RFR,5,CHEMBL2409,48,,,,,50.0,log2,2.0,1.0,
1149,MR,5,CHEMBL2409,48,,,,,,,,,median
1150,1-NN,5,CHEMBL2409,78,1.0,jaccard,,,,,,,
1151,kNN,5,CHEMBL2409,78,3.0,jaccard,,,,,,,
1152,SVR,5,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1153,RFR,5,CHEMBL2409,78,,,,,100.0,log2,2.0,1.0,
1154,MR,5,CHEMBL2409,78,,,,,,,,,median
1155,1-NN,5,CHEMBL2409,126,1.0,jaccard,,,,,,,
1156,kNN,5,CHEMBL2409,126,3.0,jaccard,,,,,,,
1157,SVR,5,CHEMBL2409,126,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1158,RFR,5,CHEMBL2409,126,,,,,50.0,log2,2.0,1.0,
1159,MR,5,CHEMBL2409,126,,,,,,,,,median
1160,1-NN,5,CHEMBL2409,204,1.0,jaccard,,,,,,,
1161,kNN,5,CHEMBL2409,204,3.0,jaccard,,,,,,,
1162,SVR,5,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1163,RFR,5,CHEMBL2409,204,,,,,100.0,log2,3.0,1.0,
1164,MR,5,CHEMBL2409,204,,,,,,,,,median
1165,1-NN,5,CHEMBL2409,330,1.0,jaccard,,,,,,,
1166,kNN,5,CHEMBL2409,330,3.0,jaccard,,,,,,,
1167,SVR,5,CHEMBL2409,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1168,RFR,5,CHEMBL2409,330,,,,,50.0,sqrt,2.0,1.0,
1169,MR,5,CHEMBL2409,330,,,,,,,,,median
1170,1-NN,6,CHEMBL2409,6,1.0,jaccard,,,,,,,
1171,kNN,6,CHEMBL2409,6,3.0,jaccard,,,,,,,
1172,SVR,6,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1173,RFR,6,CHEMBL2409,6,,,,,200.0,sqrt,2.0,1.0,
1174,MR,6,CHEMBL2409,6,,,,,,,,,median
1175,1-NN,6,CHEMBL2409,12,1.0,jaccard,,,,,,,
1176,kNN,6,CHEMBL2409,12,3.0,jaccard,,,,,,,
1177,SVR,6,CHEMBL2409,12,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1178,RFR,6,CHEMBL2409,12,,,,,50.0,log2,5.0,1.0,
1179,MR,6,CHEMBL2409,12,,,,,,,,,median
1180,1-NN,6,CHEMBL2409,18,1.0,jaccard,,,,,,,
1181,kNN,6,CHEMBL2409,18,3.0,jaccard,,,,,,,
1182,SVR,6,CHEMBL2409,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1183,RFR,6,CHEMBL2409,18,,,,,200.0,log2,2.0,2.0,
1184,MR,6,CHEMBL2409,18,,,,,,,,,median
1185,1-NN,6,CHEMBL2409,30,1.0,jaccard,,,,,,,
1186,kNN,6,CHEMBL2409,30,3.0,jaccard,,,,,,,
1187,SVR,6,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1188,RFR,6,CHEMBL2409,30,,,,,50.0,log2,10.0,1.0,
1189,MR,6,CHEMBL2409,30,,,,,,,,,median
1190,1-NN,6,CHEMBL2409,48,1.0,jaccard,,,,,,,
1191,kNN,6,CHEMBL2409,48,3.0,jaccard,,,,,,,
1192,SVR,6,CHEMBL2409,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1193,RFR,6,CHEMBL2409,48,,,,,100.0,sqrt,2.0,1.0,
1194,MR,6,CHEMBL2409,48,,,,,,,,,median
1195,1-NN,6,CHEMBL2409,78,1.0,jaccard,,,,,,,
1196,kNN,6,CHEMBL2409,78,3.0,jaccard,,,,,,,
1197,SVR,6,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1198,RFR,6,CHEMBL2409,78,,,,,50.0,sqrt,3.0,1.0,
1199,MR,6,CHEMBL2409,78,,,,,,,,,median
1200,1-NN,6,CHEMBL2409,126,1.0,jaccard,,,,,,,
1201,kNN,6,CHEMBL2409,126,3.0,jaccard,,,,,,,
1202,SVR,6,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1203,RFR,6,CHEMBL2409,126,,,,,50.0,sqrt,2.0,1.0,
1204,MR,6,CHEMBL2409,126,,,,,,,,,median
1205,1-NN,6,CHEMBL2409,204,1.0,jaccard,,,,,,,
1206,kNN,6,CHEMBL2409,204,3.0,jaccard,,,,,,,
1207,SVR,6,CHEMBL2409,204,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1208,RFR,6,CHEMBL2409,204,,,,,50.0,sqrt,2.0,1.0,
1209,MR,6,CHEMBL2409,204,,,,,,,,,median
1210,1-NN,6,CHEMBL2409,330,1.0,jaccard,,,,,,,
1211,kNN,6,CHEMBL2409,330,3.0,jaccard,,,,,,,
1212,SVR,6,CHEMBL2409,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1213,RFR,6,CHEMBL2409,330,,,,,200.0,sqrt,2.0,1.0,
1214,MR,6,CHEMBL2409,330,,,,,,,,,median
1215,1-NN,7,CHEMBL2409,6,1.0,jaccard,,,,,,,
1216,kNN,7,CHEMBL2409,6,3.0,jaccard,,,,,,,
1217,SVR,7,CHEMBL2409,6,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1218,RFR,7,CHEMBL2409,6,,,,,50.0,sqrt,2.0,2.0,
1219,MR,7,CHEMBL2409,6,,,,,,,,,median
1220,1-NN,7,CHEMBL2409,12,1.0,jaccard,,,,,,,
1221,kNN,7,CHEMBL2409,12,3.0,jaccard,,,,,,,
1222,SVR,7,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1223,RFR,7,CHEMBL2409,12,,,,,100.0,sqrt,2.0,5.0,
1224,MR,7,CHEMBL2409,12,,,,,,,,,median
1225,1-NN,7,CHEMBL2409,18,1.0,jaccard,,,,,,,
1226,kNN,7,CHEMBL2409,18,3.0,jaccard,,,,,,,
1227,SVR,7,CHEMBL2409,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1228,RFR,7,CHEMBL2409,18,,,,,50.0,sqrt,5.0,2.0,
1229,MR,7,CHEMBL2409,18,,,,,,,,,median
1230,1-NN,7,CHEMBL2409,30,1.0,jaccard,,,,,,,
1231,kNN,7,CHEMBL2409,30,3.0,jaccard,,,,,,,
1232,SVR,7,CHEMBL2409,30,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1233,RFR,7,CHEMBL2409,30,,,,,100.0,sqrt,2.0,1.0,
1234,MR,7,CHEMBL2409,30,,,,,,,,,median
1235,1-NN,7,CHEMBL2409,48,1.0,jaccard,,,,,,,
1236,kNN,7,CHEMBL2409,48,3.0,jaccard,,,,,,,
1237,SVR,7,CHEMBL2409,48,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1238,RFR,7,CHEMBL2409,48,,,,,200.0,log2,2.0,1.0,
1239,MR,7,CHEMBL2409,48,,,,,,,,,median
1240,1-NN,7,CHEMBL2409,78,1.0,jaccard,,,,,,,
1241,kNN,7,CHEMBL2409,78,3.0,jaccard,,,,,,,
1242,SVR,7,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1243,RFR,7,CHEMBL2409,78,,,,,50.0,sqrt,2.0,1.0,
1244,MR,7,CHEMBL2409,78,,,,,,,,,median
1245,1-NN,7,CHEMBL2409,126,1.0,jaccard,,,,,,,
1246,kNN,7,CHEMBL2409,126,3.0,jaccard,,,,,,,
1247,SVR,7,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1248,RFR,7,CHEMBL2409,126,,,,,100.0,sqrt,3.0,1.0,
1249,MR,7,CHEMBL2409,126,,,,,,,,,median
1250,1-NN,7,CHEMBL2409,204,1.0,jaccard,,,,,,,
1251,kNN,7,CHEMBL2409,204,3.0,jaccard,,,,,,,
1252,SVR,7,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1253,RFR,7,CHEMBL2409,204,,,,,100.0,log2,2.0,1.0,
1254,MR,7,CHEMBL2409,204,,,,,,,,,median
1255,1-NN,7,CHEMBL2409,330,1.0,jaccard,,,,,,,
1256,kNN,7,CHEMBL2409,330,3.0,jaccard,,,,,,,
1257,SVR,7,CHEMBL2409,330,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1258,RFR,7,CHEMBL2409,330,,,,,200.0,sqrt,2.0,1.0,
1259,MR,7,CHEMBL2409,330,,,,,,,,,median
1260,1-NN,8,CHEMBL2409,6,1.0,jaccard,,,,,,,
1261,kNN,8,CHEMBL2409,6,3.0,jaccard,,,,,,,
1262,SVR,8,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1263,RFR,8,CHEMBL2409,6,,,,,50.0,sqrt,3.0,1.0,
1264,MR,8,CHEMBL2409,6,,,,,,,,,median
1265,1-NN,8,CHEMBL2409,12,1.0,jaccard,,,,,,,
1266,kNN,8,CHEMBL2409,12,3.0,jaccard,,,,,,,
1267,SVR,8,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1268,RFR,8,CHEMBL2409,12,,,,,50.0,sqrt,2.0,1.0,
1269,MR,8,CHEMBL2409,12,,,,,,,,,median
1270,1-NN,8,CHEMBL2409,18,1.0,jaccard,,,,,,,
1271,kNN,8,CHEMBL2409,18,3.0,jaccard,,,,,,,
1272,SVR,8,CHEMBL2409,18,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1273,RFR,8,CHEMBL2409,18,,,,,100.0,sqrt,2.0,1.0,
1274,MR,8,CHEMBL2409,18,,,,,,,,,median
1275,1-NN,8,CHEMBL2409,30,1.0,jaccard,,,,,,,
1276,kNN,8,CHEMBL2409,30,3.0,jaccard,,,,,,,
1277,SVR,8,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1278,RFR,8,CHEMBL2409,30,,,,,50.0,log2,5.0,1.0,
1279,MR,8,CHEMBL2409,30,,,,,,,,,median
1280,1-NN,8,CHEMBL2409,48,1.0,jaccard,,,,,,,
1281,kNN,8,CHEMBL2409,48,3.0,jaccard,,,,,,,
1282,SVR,8,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1283,RFR,8,CHEMBL2409,48,,,,,200.0,sqrt,2.0,1.0,
1284,MR,8,CHEMBL2409,48,,,,,,,,,median
1285,1-NN,8,CHEMBL2409,78,1.0,jaccard,,,,,,,
1286,kNN,8,CHEMBL2409,78,3.0,jaccard,,,,,,,
1287,SVR,8,CHEMBL2409,78,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1288,RFR,8,CHEMBL2409,78,,,,,200.0,log2,2.0,1.0,
1289,MR,8,CHEMBL2409,78,,,,,,,,,median
1290,1-NN,8,CHEMBL2409,126,1.0,jaccard,,,,,,,
1291,kNN,8,CHEMBL2409,126,3.0,jaccard,,,,,,,
1292,SVR,8,CHEMBL2409,126,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1293,RFR,8,CHEMBL2409,126,,,,,100.0,log2,3.0,1.0,
1294,MR,8,CHEMBL2409,126,,,,,,,,,median
1295,1-NN,8,CHEMBL2409,204,1.0,jaccard,,,,,,,
1296,kNN,8,CHEMBL2409,204,3.0,jaccard,,,,,,,
1297,SVR,8,CHEMBL2409,204,,,10000.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1298,RFR,8,CHEMBL2409,204,,,,,50.0,sqrt,2.0,1.0,
1299,MR,8,CHEMBL2409,204,,,,,,,,,median
1300,1-NN,8,CHEMBL2409,330,1.0,jaccard,,,,,,,
1301,kNN,8,CHEMBL2409,330,3.0,jaccard,,,,,,,
1302,SVR,8,CHEMBL2409,330,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1303,RFR,8,CHEMBL2409,330,,,,,50.0,log2,2.0,1.0,
1304,MR,8,CHEMBL2409,330,,,,,,,,,median
1305,1-NN,9,CHEMBL2409,6,1.0,jaccard,,,,,,,
1306,kNN,9,CHEMBL2409,6,3.0,jaccard,,,,,,,
1307,SVR,9,CHEMBL2409,6,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1308,RFR,9,CHEMBL2409,6,,,,,50.0,sqrt,2.0,1.0,
1309,MR,9,CHEMBL2409,6,,,,,,,,,median
1310,1-NN,9,CHEMBL2409,12,1.0,jaccard,,,,,,,
1311,kNN,9,CHEMBL2409,12,3.0,jaccard,,,,,,,
1312,SVR,9,CHEMBL2409,12,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1313,RFR,9,CHEMBL2409,12,,,,,100.0,log2,2.0,1.0,
1314,MR,9,CHEMBL2409,12,,,,,,,,,median
1315,1-NN,9,CHEMBL2409,18,1.0,jaccard,,,,,,,
1316,kNN,9,CHEMBL2409,18,3.0,jaccard,,,,,,,
1317,SVR,9,CHEMBL2409,18,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1318,RFR,9,CHEMBL2409,18,,,,,100.0,sqrt,2.0,5.0,
1319,MR,9,CHEMBL2409,18,,,,,,,,,median
1320,1-NN,9,CHEMBL2409,30,1.0,jaccard,,,,,,,
1321,kNN,9,CHEMBL2409,30,3.0,jaccard,,,,,,,
1322,SVR,9,CHEMBL2409,30,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1323,RFR,9,CHEMBL2409,30,,,,,50.0,sqrt,2.0,10.0,
1324,MR,9,CHEMBL2409,30,,,,,,,,,median
1325,1-NN,9,CHEMBL2409,48,1.0,jaccard,,,,,,,
1326,kNN,9,CHEMBL2409,48,3.0,jaccard,,,,,,,
1327,SVR,9,CHEMBL2409,48,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1328,RFR,9,CHEMBL2409,48,,,,,50.0,log2,3.0,1.0,
1329,MR,9,CHEMBL2409,48,,,,,,,,,median
1330,1-NN,9,CHEMBL2409,78,1.0,jaccard,,,,,,,
1331,kNN,9,CHEMBL2409,78,3.0,jaccard,,,,,,,
1332,SVR,9,CHEMBL2409,78,,,1.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1333,RFR,9,CHEMBL2409,78,,,,,100.0,log2,3.0,1.0,
1334,MR,9,CHEMBL2409,78,,,,,,,,,median
1335,1-NN,9,CHEMBL2409,126,1.0,jaccard,,,,,,,
1336,kNN,9,CHEMBL2409,126,3.0,jaccard,,,,,,,
1337,SVR,9,CHEMBL2409,126,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1338,RFR,9,CHEMBL2409,126,,,,,50.0,sqrt,3.0,1.0,
1339,MR,9,CHEMBL2409,126,,,,,,,,,median
1340,1-NN,9,CHEMBL2409,204,1.0,jaccard,,,,,,,
1341,kNN,9,CHEMBL2409,204,3.0,jaccard,,,,,,,
1342,SVR,9,CHEMBL2409,204,,,10.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1343,RFR,9,CHEMBL2409,204,,,,,100.0,log2,5.0,1.0,
1344,MR,9,CHEMBL2409,204,,,,,,,,,median
1345,1-NN,9,CHEMBL2409,330,1.0,jaccard,,,,,,,
1346,kNN,9,CHEMBL2409,330,3.0,jaccard,,,,,,,
1347,SVR,9,CHEMBL2409,330,,,100.0,<function tanimoto_from_dense at 0x000001FB4FB703A0>,,,,,
1348,RFR,9,CHEMBL2409,330,,,,,200.0,sqrt,2.0,1.0,
1349,MR,9,CHEMBL2409,330,,,,,,,,,median
